diaObjectId,dec,ra,g_psfFluxErrMean,g_psfFluxLinearSlope,g_psfFluxMAD,g_psfFluxMax,g_psfFluxMean,g_psfFluxMeanErr,g_psfFluxMin,g_psfFluxNdata,g_psfFluxSigma,g_psfFluxStetsonJ,g_psfFluxChi2
630407328247579677,-10.032401316643814,106.21724073860462,211.648,,0.0,1104.4500732421875,1104.4500732421875,211.64816284179688,1104.4500732421875,1.0,,,0.0
592913775581987527,-48.69732773756358,59.713063986140774,,,,,,,,,,,
628767131776843789,-11.006355354571951,106.40942688866713,297.182,-336021.68478470034,65.4896,-3544.351318359375,-3612.626708984375,209.99658203125,-3675.33056640625,2.0,92.61631448866018,-0.950217728127891,0.097081
611255759837072775,-27.763384867298033,53.2320123456343,,,,,,,,,,,
579584602276888901,-72.0499887212836,7.179574005679703,603.826,1204.0282736938577,4546.51,6337.84521484375,1450.2650146484375,348.20782470703125,-3183.016845703125,3.0,4762.032966604116,6.144040777487478,126.934
604063441962926654,-34.50183392313329,39.970002198122586,,,,,,,,,,,
579577249292887245,-72.06091186152565,6.5599421811888154,,,,,,,,,,,
579577249292886907,-72.00463651598069,6.495698415573853,,,,,,,,,,,
592915493568905288,-48.47423937945973,58.48317264497617,,,,,,,,,,,
579577249292879094,-72.10564421277765,6.666512937187108,708.958,-4561346.256906074,4030.52,23260.9765625,10876.0126953125,314.90582275390625,2034.6483154296875,5.0,10785.147759720485,13.379001552624663,939.128
579578073926603784,-71.88007796125284,5.232938932920768,,,,,,,,,,,
579578554962936181,-71.75658017403426,6.807547255648578,358.497,,0.0,-1902.5460205078125,-1902.546142578125,358.4968566894531,-1902.5460205078125,1.0,,,1.15944e-13
630407190808626533,-10.13405044895879,106.58396636770424,379.501,,0.0,2003.3514404296875,2003.3514404296875,379.50146484375,2003.3514404296875,1.0,,,0.0
630407259528104429,-10.135672923122739,106.47068218003425,243.776,,0.0,1398.6732177734375,1398.6732177734375,243.7759552001953,1398.6732177734375,1.0,,,0.0
611255759837073930,-27.814799607679117,53.153199149919935,,,,,,,,,,,
630405953858051208,-10.398975120622387,106.30346105219049,158.963,,0.0,911.871826171875,911.8718872070312,158.96337890625,911.871826171875,1.0,,,1.47423e-13
604064129157694392,-34.4057875200609,40.004087452788724,,,,,,,,,,,
612930041168266451,-25.30290229048321,94.67871006566695,,,,,,,,,,,
614437746487853485,-24.828476339995973,95.08651460207693,185.287,155903.1692942823,219.103,3080.185791015625,1730.06591796875,91.9921646118164,1135.040771484375,4.0,866.8120608929621,2.2954141892531066,56.8551
628769949275394877,-10.423359757124077,106.2082538248544,,,,,,,,,,,
628768506166381161,-10.727435167879666,106.32870769573881,249.605,,0.0,1966.5072021484375,1966.5072021484375,249.60513305664062,1966.5072021484375,1.0,,,0.0
614436921854135373,-25.018263802615632,95.32995899167379,144.387,,0.0,734.3794555664062,734.3794555664062,144.38668823242188,734.3794555664062,1.0,,,0.0
592913844301464958,-48.84107440756747,59.417724872350504,,,,,,,,,,,
